sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments
88030,healthy,168.74,169.0,21.1,16.07,82.41,143.0,157.0,180.0,194.0,500000
88031,healthy,165.33,166.0,18.51,17.74,81.66,142.0,155.0,176.0,187.0,500000
88032,healthy,165.84,166.0,20.82,19.74,79.15,140.0,153.0,177.0,190.0,500000
88033,healthy,169.27,169.0,20.96,15.35,83.04,144.0,157.0,181.0,195.0,500000
88034,healthy,165.7,167.0,20.68,19.5,79.56,140.0,154.0,177.0,190.0,500000
88035,healthy,167.91,168.0,20.75,16.84,81.79,142.0,156.0,179.0,193.0,500000
88036,healthy,167.29,168.0,20.27,17.13,81.81,142.0,156.0,179.0,191.0,500000
88037,healthy,166.53,167.0,20.76,18.56,80.32,141.0,155.0,178.0,191.0,500000
88038,healthy,166.43,167.0,19.65,17.53,81.56,142.0,155.0,177.0,189.0,500000
88039,healthy,166.12,167.0,18.98,17.12,82.22,142.0,156.0,177.0,188.0,500000
88040,healthy,167.31,168.0,19.95,16.76,82.17,142.0,156.0,178.0,191.0,500000
88041,healthy,169.13,169.0,20.96,15.51,82.93,143.0,157.0,181.0,195.0,500000
88042,healthy,165.93,167.0,18.96,17.44,81.88,142.0,155.0,177.0,188.0,500000
88043,healthy,168.0,168.0,19.97,16.12,82.68,143.0,157.0,179.0,192.0,500000
88044,healthy,169.25,169.0,20.91,15.53,82.93,143.0,157.0,181.0,195.0,500000
88045,healthy,166.86,167.0,19.1,16.26,82.87,143.0,156.0,177.0,190.0,500000
88047,healthy,169.34,169.0,19.62,13.75,85.01,145.0,158.0,180.0,193.0,500000
88048,healthy,164.22,165.0,19.55,20.52,78.75,140.0,153.0,175.0,187.0,500000
88049,healthy,168.63,169.0,19.85,14.92,83.88,144.0,158.0,179.0,192.0,500000
86229,lung_cancer,142.46,152.0,54.71,47.91,47.68,63.0,108.0,171.0,190.0,500000
86230,lung_cancer,122.46,128.0,53.0,65.74,31.62,52.0,77.0,160.0,176.0,500000
86233,lung_cancer,120.31,123.0,51.87,66.84,31.16,53.0,75.0,160.0,177.0,500000
86245,lung_cancer,141.57,154.0,47.09,44.94,53.05,65.0,115.0,170.0,184.0,500000
86251,lung_cancer,141.29,148.0,59.26,51.15,43.05,62.0,97.0,171.0,195.0,500000
86254,lung_cancer,115.72,112.0,52.97,71.0,26.72,52.0,70.0,155.0,175.0,500000
86264,lung_cancer,137.01,146.0,58.75,52.86,42.83,56.0,91.0,170.0,190.0,500000
88183,lung_cancer,161.93,164.0,21.21,25.88,73.18,135.0,149.0,174.0,186.0,500000
88184,lung_cancer,161.7,163.0,22.21,28.12,70.63,134.0,147.0,174.0,187.0,500000
88185,lung_cancer,163.12,164.0,21.56,24.35,74.48,136.0,150.0,175.0,188.0,500000
