sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments,genome_bin_short_frac_std,genome_bin_short_frac_mean,motif_A_frac,motif_C_frac,motif_G_frac,motif_T_frac
88183,lung_cancer,161.91,164.0,21.19,25.84,73.22,135.0,149.0,174.0,186.0,5000000,0.0225,0.2511,,,,
88184,lung_cancer,161.68,163.0,22.19,28.17,70.6,134.0,147.0,174.0,187.0,5000000,0.0276,0.2739,,,,
88185,lung_cancer,163.11,164.0,21.58,24.38,74.45,136.0,150.0,175.0,188.0,5000000,0.0243,0.2354,,,,
88186,lung_cancer,163.97,165.0,21.7,23.74,75.01,137.0,150.0,176.0,189.0,5000000,0.0235,0.23,,,,
88187,lung_cancer,162.9,164.0,20.07,23.55,75.71,138.0,151.0,174.0,186.0,5000000,0.0177,0.2308,,,,
88188,lung_cancer,163.15,165.0,19.89,22.65,76.69,138.0,151.0,175.0,186.0,5000000,0.0196,0.2213,,,,
88189,lung_cancer,162.48,164.0,20.83,24.16,75.12,136.0,150.0,175.0,186.0,5000000,0.0187,0.2365,,,,
88190,lung_cancer,168.1,168.0,18.95,14.76,84.16,145.0,157.0,178.0,191.0,5000000,0.0162,0.144,,,,
88191,lung_cancer,165.79,166.0,18.92,18.06,81.17,142.0,154.0,176.0,188.0,5000000,0.0168,0.1765,,,,
88193,lung_cancer,162.35,164.0,18.15,21.09,78.44,139.0,152.0,172.0,182.0,5000000,0.0176,0.2067,,,,
88194,lung_cancer,164.19,166.0,22.62,23.17,75.52,136.0,151.0,177.0,190.0,5000000,0.0176,0.2293,,,,
88195,lung_cancer,163.78,164.0,19.1,20.04,79.22,141.0,153.0,174.0,186.0,5000000,0.0213,0.1933,,,,
88196,lung_cancer,163.56,164.0,19.91,21.51,77.76,139.0,152.0,175.0,187.0,5000000,0.0238,0.2068,,,,
88197,lung_cancer,165.57,165.0,20.84,19.85,78.85,140.0,153.0,177.0,191.0,5000000,0.0264,0.1894,,,,
88198,lung_cancer,161.58,163.0,18.24,22.98,76.46,139.0,151.0,171.0,181.0,5000000,0.0157,0.2261,,,,
88199,lung_cancer,160.42,163.0,20.42,26.17,73.13,134.0,149.0,172.0,182.0,5000000,0.0202,0.257,,,,
88200,lung_cancer,160.09,163.0,19.97,26.3,73.17,135.0,149.0,172.0,181.0,5000000,0.0216,0.2567,,,,
88201,lung_cancer,163.25,164.0,19.21,22.15,77.15,139.0,151.0,174.0,185.0,5000000,0.0251,0.2175,,,,
88202,lung_cancer,168.58,168.0,18.9,13.79,85.14,145.0,158.0,179.0,191.0,5000000,0.019,0.133,,,,
88203,lung_cancer,165.9,166.0,17.85,16.13,83.3,143.0,156.0,176.0,187.0,5000000,0.0166,0.1589,,,,
88204,lung_cancer,165.94,166.0,19.25,17.67,81.38,142.0,155.0,176.0,188.0,5000000,0.0161,0.174,,,,
88205,lung_cancer,164.39,165.0,18.5,19.08,80.34,141.0,154.0,175.0,186.0,5000000,0.0158,0.1876,,,,
88206,lung_cancer,158.67,163.0,22.58,28.06,71.21,127.0,147.0,172.0,182.0,5000000,0.0223,0.2793,,,,
88207,lung_cancer,161.23,164.0,21.62,25.4,73.79,134.0,149.0,173.0,185.0,5000000,0.0198,0.25,,,,
88208,lung_cancer,161.58,163.0,17.43,22.4,77.26,140.0,151.0,171.0,181.0,5000000,0.022,0.2183,,,,
88209,lung_cancer,155.85,158.0,22.7,36.92,62.26,127.0,142.0,169.0,181.0,5000000,0.0201,0.3646,,,,
88210,lung_cancer,165.0,166.0,18.53,17.63,81.75,142.0,155.0,175.0,186.0,5000000,0.0201,0.1702,,,,
